Method,Group,Value,Family,Outcome,Label,Direction,Threshold,Model,Fold
Permutation,Family / employment,0.010196349271809768,Relative,DV1,Up 10 pp,Up,10,Random Forest,4
Permutation,Occupation,0.0037952601413270616,Relative,DV1,Up 10 pp,Up,10,Random Forest,4
Permutation,Industry,-0.0047588963451371865,Relative,DV1,Up 10 pp,Up,10,Random Forest,4
Permutation,Geography,0.006461107690992507,Relative,DV1,Up 10 pp,Up,10,Random Forest,4
SHAP,Income,0.2964135174281739,Relative,DV1,Up 10 pp,Up,10,Random Forest,4
SHAP,Wealth,0.028654610385454613,Relative,DV1,Up 10 pp,Up,10,Random Forest,4
SHAP,Education,0.05471752496868126,Relative,DV1,Up 10 pp,Up,10,Random Forest,4
SHAP,Demographics,0.18664557247481517,Relative,DV1,Up 10 pp,Up,10,Random Forest,4
SHAP,Family / employment,0.16180881360583999,Relative,DV1,Up 10 pp,Up,10,Random Forest,4
SHAP,Occupation,0.07514806248145141,Relative,DV1,Up 10 pp,Up,10,Random Forest,4
SHAP,Industry,0.12935433067801413,Relative,DV1,Up 10 pp,Up,10,Random Forest,4
SHAP,Geography,0.06725756797756945,Relative,DV1,Up 10 pp,Up,10,Random Forest,4
Impurity,Income,0.3565193611627553,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Impurity,Wealth,0.10033432015005676,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Impurity,Education,0.047975716856923825,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Impurity,Demographics,0.1559268112532428,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Impurity,Family / employment,0.11404812177227759,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Impurity,Occupation,0.07555058359426782,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Impurity,Industry,0.09187147760708687,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Impurity,Geography,0.057773607603389,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Permutation,Income,0.1530056862295198,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Permutation,Wealth,0.0034230131374949568,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Permutation,Education,-0.0006319609925960257,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Permutation,Demographics,0.01661729306075687,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Permutation,Family / employment,0.007656755734189102,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Permutation,Occupation,0.0008240739875429226,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Permutation,Industry,0.0033139818722909163,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Permutation,Geography,0.007130329101166488,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
SHAP,Income,0.34654361510097687,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
SHAP,Wealth,0.05279824108168347,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
SHAP,Education,0.032910628843244964,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
SHAP,Demographics,0.1416524490208774,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
SHAP,Family / employment,0.1822625357069792,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
SHAP,Occupation,0.0784007444693408,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
SHAP,Industry,0.09416170508128698,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
SHAP,Geography,0.07127008069561011,Relative,DV1,Up 10 pp,Up,10,Random Forest,5
Impurity,Income,0.5321887676182676,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Impurity,Wealth,0.07263757827071701,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Impurity,Education,0.026060503194195138,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Impurity,Demographics,0.1376945707335618,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Impurity,Family / employment,0.08675056112693388,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Impurity,Occupation,0.04216782671037611,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Impurity,Industry,0.06486318698333093,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Impurity,Geography,0.037637005362617354,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Permutation,Income,0.11590429044796653,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Permutation,Wealth,-3.658686613038365e-05,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Permutation,Education,-0.0003316165519961889,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Permutation,Demographics,0.014539351875798162,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Permutation,Family / employment,0.018900509860473702,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Permutation,Occupation,-0.000659176619585089,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Permutation,Industry,0.0008362866903158684,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
Permutation,Geography,-0.001952162380986383,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
SHAP,Income,0.3577216868485151,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
SHAP,Wealth,0.03989890768251647,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
SHAP,Education,0.05136268901948463,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
SHAP,Demographics,0.2088506206555065,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
SHAP,Family / employment,0.11052472563077681,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
SHAP,Occupation,0.05705975488162255,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
SHAP,Industry,0.11357934378193252,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
SHAP,Geography,0.06100227149964543,Relative,DV1,Up 10 pp,Up,10,Gradient Boosting,1
