Family,Outcome,Label,Direction,Threshold,Group,ConsensusRank
Relative,DV1,Up 10 pp,Up,10,Wealth,6.0
Relative,DV2,Up 20 pp,Up,20,Demographics,2.0
Relative,DV2,Up 20 pp,Up,20,Education,4.833333333333333
Relative,DV2,Up 20 pp,Up,20,Family / employment,5.0
Relative,DV2,Up 20 pp,Up,20,Geography,4.833333333333333
Relative,DV2,Up 20 pp,Up,20,Income,1.0
Relative,DV2,Up 20 pp,Up,20,Industry,7.666666666666667
Relative,DV2,Up 20 pp,Up,20,Occupation,7.0
Relative,DV2,Up 20 pp,Up,20,Wealth,3.6666666666666665
Relative,DV3,Up 30 pp,Up,30,Demographics,2.1666666666666665
Relative,DV3,Up 30 pp,Up,30,Education,7.666666666666667
Relative,DV3,Up 30 pp,Up,30,Family / employment,4.833333333333333
Relative,DV3,Up 30 pp,Up,30,Geography,4.5
Relative,DV3,Up 30 pp,Up,30,Income,1.0
Relative,DV3,Up 30 pp,Up,30,Industry,6.666666666666667
Relative,DV3,Up 30 pp,Up,30,Occupation,6.333333333333333
Relative,DV3,Up 30 pp,Up,30,Wealth,2.8333333333333335
Relative,DV4,Up 40 pp,Up,40,Demographics,3.0
Relative,DV4,Up 40 pp,Up,40,Education,4.666666666666667
Relative,DV4,Up 40 pp,Up,40,Family / employment,5.833333333333333
Relative,DV4,Up 40 pp,Up,40,Geography,7.5
Relative,DV4,Up 40 pp,Up,40,Income,1.0
Relative,DV4,Up 40 pp,Up,40,Industry,6.666666666666667
Relative,DV4,Up 40 pp,Up,40,Occupation,5.333333333333333
Relative,DV4,Up 40 pp,Up,40,Wealth,2.0
Relative,DV5,Down 10 pp,Down,10,Demographics,2.1666666666666665
Relative,DV5,Down 10 pp,Down,10,Education,6.0
Relative,DV5,Down 10 pp,Down,10,Family / employment,6.833333333333333
Relative,DV5,Down 10 pp,Down,10,Geography,6.333333333333333
Relative,DV5,Down 10 pp,Down,10,Income,1.0
Relative,DV5,Down 10 pp,Down,10,Industry,5.333333333333333
Relative,DV5,Down 10 pp,Down,10,Occupation,5.333333333333333
Relative,DV5,Down 10 pp,Down,10,Wealth,3.0
Relative,DV6,Down 20 pp,Down,20,Demographics,2.6666666666666665
Relative,DV6,Down 20 pp,Down,20,Education,5.333333333333333
Relative,DV6,Down 20 pp,Down,20,Family / employment,7.5
Relative,DV6,Down 20 pp,Down,20,Geography,5.666666666666667
Relative,DV6,Down 20 pp,Down,20,Income,1.0
Relative,DV6,Down 20 pp,Down,20,Industry,5.666666666666667
Relative,DV6,Down 20 pp,Down,20,Occupation,5.666666666666667
Relative,DV6,Down 20 pp,Down,20,Wealth,2.5
Relative,DV7,Down 30 pp,Down,30,Demographics,3.0
Relative,DV7,Down 30 pp,Down,30,Education,6.333333333333333
Relative,DV7,Down 30 pp,Down,30,Family / employment,7.666666666666667
Relative,DV7,Down 30 pp,Down,30,Geography,5.166666666666667
Relative,DV7,Down 30 pp,Down,30,Income,1.0
Relative,DV7,Down 30 pp,Down,30,Industry,4.0
Relative,DV7,Down 30 pp,Down,30,Occupation,6.666666666666667
Relative,DV7,Down 30 pp,Down,30,Wealth,2.1666666666666665
Relative,DV8,Down 40 pp,Down,40,Demographics,3.6666666666666665
Relative,DV8,Down 40 pp,Down,40,Education,6.666666666666667
Relative,DV8,Down 40 pp,Down,40,Family / employment,7.666666666666667
Relative,DV8,Down 40 pp,Down,40,Geography,4.333333333333333
Relative,DV8,Down 40 pp,Down,40,Income,1.0
Relative,DV8,Down 40 pp,Down,40,Industry,2.6666666666666665
Relative,DV8,Down 40 pp,Down,40,Occupation,6.666666666666667
Relative,DV8,Down 40 pp,Down,40,Wealth,3.3333333333333335
