Family,Outcome,Label,Model,Fold,InnerAUC,BestParameters
Relative,DV4,Up 40 pp,Gradient Boosting,5,0.7000799167088315,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Relative,DV5,Down 10 pp,Random Forest,1,0.6809518519873884,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV5,Down 10 pp,Random Forest,2,0.6890233917450904,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV5,Down 10 pp,Random Forest,3,0.6987519975537183,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV5,Down 10 pp,Random Forest,4,0.682291045971656,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV5,Down 10 pp,Random Forest,5,0.6879609938945644,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV5,Down 10 pp,Gradient Boosting,1,0.6814373817896531,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV5,Down 10 pp,Gradient Boosting,2,0.6827631376658619,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Relative,DV5,Down 10 pp,Gradient Boosting,3,0.6916482932811627,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV5,Down 10 pp,Gradient Boosting,4,0.6764841928992412,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""subsample"": 1.0}"
Relative,DV5,Down 10 pp,Gradient Boosting,5,0.6861369369375961,"{""n_estimators"": 250, ""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": null, ""min_samples_leaf"": 10, ""subsample"": 0.8}"
Relative,DV6,Down 20 pp,Random Forest,1,0.6845748588581833,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV6,Down 20 pp,Random Forest,2,0.6514338080803542,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
Relative,DV6,Down 20 pp,Random Forest,3,0.6815844825914806,"{""n_estimators"": 350, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""criterion"": ""entropy""}"
