Family,Outcome,Label,Direction,Threshold,Model,Method,Group,Value,FoldSD,Rank
Benchmark,A2,Up $10k,Up,10000,Random Forest,SHAP,Geography,0.03994061073630058,0.020439429625154458,7.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,SHAP,Income,0.2164349574264186,0.02122552235563469,3.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,SHAP,Industry,0.034913008465626526,0.0036884541658400815,8.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,SHAP,Occupation,0.06816078645270596,0.009199750539940425,5.0
Benchmark,A2,Up $10k,Up,10000,Random Forest,SHAP,Wealth,0.22638480972705297,0.023407096276553997,2.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Impurity,Demographics,0.2575941603367972,0.0128241277214397,2.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Impurity,Education,0.0939089318099691,0.023922630638710016,4.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Impurity,Family / employment,0.01750480711417688,0.008283737623173533,8.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Impurity,Geography,0.018020118847327897,0.003658092787968056,7.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Impurity,Income,0.24855438519867654,0.03349523819864784,3.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Impurity,Industry,0.02676389497145416,0.007307285637138251,6.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Impurity,Occupation,0.049705046184696657,0.014317500356919102,5.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Impurity,Wealth,0.28794865553690163,0.026264360937041653,1.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Permutation,Demographics,0.04437310720242403,0.011494545748838096,1.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Permutation,Education,0.010892745667531008,0.00334737853769297,4.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Permutation,Family / employment,0.00025275285777915486,0.002226925821372176,5.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Permutation,Geography,-0.0009361225448346711,0.0016342789353008963,6.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Permutation,Income,0.03525837423307995,0.010505171836338052,2.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Permutation,Industry,-0.0013313117444976297,0.002170082166087011,8.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Permutation,Occupation,-0.0009955776194152622,0.004826944344084357,7.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,Permutation,Wealth,0.031258495053922426,0.006557784342181776,3.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,SHAP,Demographics,0.2699195503660159,0.03013826127508584,1.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,SHAP,Education,0.15850865922518653,0.024974615307446803,4.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,SHAP,Family / employment,0.026667578378247646,0.010045161130676494,8.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,SHAP,Geography,0.035056141497211486,0.007862028283358635,7.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,SHAP,Income,0.1945009271185919,0.010913971218725387,3.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,SHAP,Industry,0.048828220788006714,0.012139195326375156,6.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,SHAP,Occupation,0.06162204023689175,0.01864553466959269,5.0
Benchmark,A3,Up $15k,Up,15000,Gradient Boosting,SHAP,Wealth,0.20489688238984796,0.029110397427647552,2.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Impurity,Demographics,0.22550686522164343,0.010880874435637372,3.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Impurity,Education,0.09390308254637658,0.008015281496126304,4.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Impurity,Family / employment,0.033735527343178154,0.004700169874686736,8.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Impurity,Geography,0.04440704039362733,0.008507111591849489,7.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Impurity,Income,0.23610359113351972,0.011466034984999993,2.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Impurity,Industry,0.04496529297114776,0.002776683356108795,6.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Impurity,Occupation,0.06824707884724056,0.008873860580480418,5.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Impurity,Wealth,0.2531315215432665,0.019413420658443734,1.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Permutation,Demographics,0.028652196641561194,0.0036139867272572033,3.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Permutation,Education,0.008193683011160404,0.003943049341787006,4.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Permutation,Family / employment,-0.00186622444378604,0.003883602780624289,7.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Permutation,Geography,-3.968766915346642e-05,0.0020148491079442967,6.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Permutation,Income,0.037978952767021,0.00823455954045147,2.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Permutation,Industry,-0.0022365396750948915,0.003314458905150148,8.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Permutation,Occupation,0.0012636436812155905,0.0025872361247558863,5.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,Permutation,Wealth,0.041758672421620666,0.01129629825954314,1.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,SHAP,Demographics,0.22941743301000642,0.015549772824103315,2.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,SHAP,Education,0.1334177217121351,0.01346055757222942,4.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,SHAP,Family / employment,0.04394230985057214,0.006984478517383515,7.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,SHAP,Geography,0.050623560667305535,0.013347952307349177,6.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,SHAP,Income,0.20932914405387537,0.010942065868277949,3.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,SHAP,Industry,0.03536375606948059,0.006079954956958686,8.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,SHAP,Occupation,0.06168918936286703,0.007478660859520286,5.0
Benchmark,A3,Up $15k,Up,15000,Random Forest,SHAP,Wealth,0.23621688527375784,0.025494074127720968,1.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Impurity,Demographics,0.2621924662948249,0.03603947267278375,2.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Impurity,Education,0.08309346497903496,0.015025885006598098,4.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Impurity,Family / employment,0.012344360742864987,0.005204991939559182,8.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Impurity,Geography,0.02272046231529682,0.012485790559022929,7.0
Benchmark,A4,Up $20k,Up,20000,Gradient Boosting,Impurity,Income,0.25926006429080395,0.0411151586138668,3.0
